allcats,soiltype,WTD,rootdepth,LAIIntercept,LAIwbx,LAIwb2x,LAIwb3x,aetIntercept,aetwbx,aetwb2x,aetwb3x,aetgwIntercept,aetgwwbx,aetgwwb2x,aetgwwb3x,gwsubsIntercept,gwsubswbx,gwsubswb2x,gwsubswb3x
clay_0.5_1,clay,1,0.5,1.050540428,0.036814262,0.002562334,4.11E-05,387.6490428,18.55356662,1.330202554,0.013646207,31.67801903,6.797354003,0.474311667,0.010783659,-2.956245136,-17.43722208,1.078802573,0.048864208
clayloam_0.5_1,clayloam,1,0.5,1.068228098,0.018616649,0.004221231,9.32E-05,415.7344737,7.415437739,1.279104725,0.002694109,9.397110615,2.250671659,0.17276827,0.004257076,-21.18258069,-39.35737697,0.123825388,0.014033831
loam_0.5_1,loam,1,0.5,1.070161456,0.016664673,0.004871791,0.000113465,412.9747357,4.487240254,1.306587014,0.003242964,20.43338296,4.557552104,0.329351339,0.007720779,-23.32771265,-41.89483904,0.139200608,0.013226354
loamysand_0.5_1,loamysand,1,0.5,1.06178283,0.025610553,0.0077304,0.00012604,429.1892151,18.54255039,3.888710128,0.050222308,2.653630513,0.798652085,0.071409677,0.001956244,-26.25874313,-44.99271569,0.705435235,-0.00180295
sandyclay_0.5_1,sandyclay,1,0.5,1.025145221,0.063220156,0.003623686,6.03E-05,357.75908,26.22260013,1.818492249,0.031025219,14.90182197,3.341544535,0.242686181,0.005715125,6.325713778,-6.235683354,1.477179378,0.05428197
sandyclayloam_0.5_1,sandyclayloam,1,0.5,1.060493187,0.026615745,0.00399397,8.23E-05,411.7016546,12.04516781,1.490801871,0.009201489,5.012294153,1.281181897,0.103489408,0.002652082,-17.94468309,-35.49009002,0.154579908,0.013776675
sandyloam_0.5_1,sandyloam,1,0.5,1.065847692,0.021293869,0.006664224,0.000133873,415.6371769,8.713732873,2.524019978,0.026320013,2.689835715,0.807589828,0.072108562,0.00197366,-24.19089946,-42.6364357,0.769867942,0.018264644
silt_0.5_1,silt,1,0.5,1.049642682,0.038441492,0.011038564,0.000249993,415.4878758,18.14873073,4.464979637,0.085026217,26.22404302,5.660775048,0.397805839,0.009109428,-4.338010417,-17.93688819,4.394373106,0.127927583
siltloam_0.5_1,siltloam,1,0.5,1.068350529,0.018715323,0.007080619,0.000183046,399.9966858,0.187757284,1.644749077,0.01746784,47.47536182,9.11617698,0.571832741,0.011761407,-18.1241291,-35.29171956,1.550967745,0.057444515
siltyclay_0.5_1,siltyclay,1,0.5,1.058791884,0.028250131,0.002408358,3.95E-05,399.8460735,15.5011787,1.175102827,0.007099768,26.72390509,5.938162329,0.427056918,0.009961257,-7.851494747,-23.35672736,0.752590917,0.039053862
siltyclayloam_0.5_1,siltyclayloam,1,0.5,1.072700761,0.013984306,0.004316426,0.000106655,411.4545129,3.011878043,0.902512595,-0.003644234,40.6995317,8.419566769,0.567461274,0.012496779,-20.70294225,-38.76761357,0.29320555,0.023862027
clay_0.5_3,clay,3,0.5,1.04294549,0.044285429,-0.002771078,-0.000170364,387.0705252,33.68558517,0.680231839,-0.013308808,2.653630513,0.798652085,0.071409677,0.001956244,12.42299155,0.771325593,0.598567062,0.024410435
clayloam_0.5_3,clayloam,3,0.5,1.047925794,0.03914129,-0.002485051,-0.000149315,389.9678476,30.70663887,0.671373176,-0.010137225,2.653630513,0.798652085,0.071409677,0.001956244,10.49761886,-1.521703517,0.655809921,0.029253836
loam_0.5_3,loam,3,0.5,1.048767209,0.038322839,-0.001743279,-0.000115799,385.0132622,28.05700999,0.72900844,-0.004871835,2.653630513,0.798652085,0.071409677,0.001956244,9.56798057,-2.594471932,0.818216275,0.036601899
loamysand_0.5_3,loamysand,3,0.5,1.016857253,0.071632832,0.001244938,-3.88E-05,349.5487262,36.1454602,1.638135424,0.023130711,2.653630513,0.798652085,0.071409677,0.001956244,15.14395921,4.133318917,0.990456368,0.035019257
sandyclay_0.5_3,sandyclay,3,0.5,1.02228566,0.065885765,-0.000358621,-9.82E-05,357.1632842,36.45662101,1.223861139,0.006598947,2.653630513,0.798652085,0.071409677,0.001956244,17.35209732,6.802154897,1.223307416,0.046076203
sandyclayloam_0.5_3,sandyclayloam,3,0.5,1.038193683,0.049307839,-0.001470526,-0.000121203,376.5655003,32.0815804,0.882701032,-0.002856919,2.653630513,0.798652085,0.071409677,0.001956244,12.66602747,1.121633691,0.840360035,0.033453131
sandyloam_0.5_3,sandyloam,3,0.5,1.036527137,0.051078327,-0.000893567,-9.92E-05,373.0526764,31.88170441,1.043657859,0.003697961,2.653630513,0.798652085,0.071409677,0.001956244,12.59461462,1.059750731,0.929921562,0.036755851
silt_0.5_3,silt,3,0.5,1.067594138,0.018830655,-0.001339514,-7.27E-05,398.5024335,19.84920776,0.558434957,-0.005607104,2.653630513,0.798652085,0.071409677,0.001956244,2.008590798,-11.65025583,0.748876289,0.041396937
siltloam_0.5_3,siltloam,3,0.5,1.067124695,0.019344844,-0.000993723,-6.28E-05,406.6716374,18.74084251,0.500299673,-0.008612598,3.027554977,0.890960385,0.078627702,0.002136119,0.259829318,-13.75549381,0.640959993,0.037138915
siltyclay_0.5_3,siltyclay,3,0.5,1.04756576,0.039456625,-0.003285418,-0.000185326,395.7076864,33.503145,0.60829964,-0.016272764,2.653630513,0.798652085,0.071409677,0.001956244,11.65355806,-0.166010074,0.533321221,0.022846149
siltyclayloam_0.5_3,siltyclayloam,3,0.5,1.061485646,0.025030312,-0.00315167,-0.000155473,403.0048546,25.74350392,0.326781729,-0.018581428,2.653630513,0.798652085,0.071409677,0.001956244,5.758029834,-7.261983299,0.400068242,0.025606139
clay_0.5_6,clay,6,0.5,1.040089403,0.047194255,-0.003500155,-0.000206945,399.1821351,39.29731091,0.739742136,-0.018372503,2.653630513,0.798652085,0.071409677,0.001956244,14.80571665,3.590178431,0.417323379,0.012929361
clayloam_0.5_6,clayloam,6,0.5,1.043296636,0.043854458,-0.003688699,-0.000209828,404.8518759,38.80258763,0.71889478,-0.018339586,2.653630513,0.798652085,0.071409677,0.001956244,14.60506022,3.349161067,0.415602622,0.013160837
loam_0.5_6,loam,6,0.5,1.043837053,0.043303858,-0.003551032,-0.000202548,401.9495728,37.53896639,0.679760593,-0.018014554,2.653630513,0.798652085,0.071409677,0.001956244,14.39870585,3.103016772,0.42186804,0.013747062
loamysand_0.5_6,loamysand,6,0.5,1.017066125,0.071329166,5.95E-05,-8.87E-05,361.4778403,39.68790308,1.381461523,0.00882481,2.653630513,0.798652085,0.071409677,0.001956244,15.18829491,4.048005607,0.407585503,0.011763767
sandyclay_0.5_6,sandyclay,6,0.5,1.006901778,0.082019834,0.002090748,-2.07E-05,439.5039596,64.58927034,3.854799479,0.076912849,14.82898841,3.351321004,0.24483692,0.005791329,-7.406492276,-23.8207751,-3.42217276,-0.126836314
sandyclayloam_0.5_6,sandyclayloam,6,0.5,1.035705045,0.051804143,-0.002630678,-0.000175844,391.6873368,38.40689252,0.827176495,-0.013050945,2.653630513,0.798652085,0.071409677,0.001956244,14.84356902,3.643411784,0.450528918,0.014200466
sandyloam_0.5_6,sandyloam,6,0.5,1.034221628,0.053364058,-0.002334864,-0.000165398,388.9058803,38.55104061,0.917235575,-0.009373197,2.653630513,0.798652085,0.071409677,0.001956244,14.85898249,3.659732523,0.439907991,0.013701142
silt_0.5_6,silt,6,0.5,1.058826719,0.027627646,-0.005352811,-0.000256293,414.1316886,35.53070457,0.397786767,-0.027026961,2.653630513,0.798652085,0.071409677,0.001956244,13.3465547,1.820163971,0.331328623,0.011673266
siltloam_0.5_6,siltloam,6,0.5,1.058289277,0.028225651,-0.00478234,-0.000230499,414.4083646,33.070709,0.26367655,-0.028943432,2.653630513,0.798652085,0.071409677,0.001956244,12.36436471,0.642970259,0.335853568,0.013398375
siltyclay_0.5_6,siltyclay,6,0.5,1.044026282,0.043072339,-0.004040748,-0.00022437,407.5892343,39.71448144,0.700460821,-0.020706654,2.653630513,0.798652085,0.071409677,0.001956244,14.72713205,3.493075438,0.404287208,0.012494688
siltyclayloam_0.5_6,siltyclayloam,6,0.5,1.053250625,0.033443853,-0.004893881,-0.00024574,417.3823124,37.63826173,0.493635714,-0.02619849,2.653630513,0.798652085,0.071409677,0.001956244,13.86175251,2.443297725,0.353491864,0.011771404
clay_0.5_12,clay,12,0.5,1.039929367,0.047341154,-0.003755435,-0.000217388,403.3240589,40.73815586,0.739360009,-0.020438493,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
clayloam_0.5_12,clayloam,12,0.5,1.04245936,0.044707479,-0.003891946,-0.000219126,409.4429485,40.56453677,0.727155292,-0.020462395,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
loam_0.5_12,loam,12,0.5,1.042606254,0.044563708,-0.003770719,-0.000213066,407.1036906,39.64633922,0.691318762,-0.020439953,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
loamysand_0.5_12,loamysand,12,0.5,1.016590695,0.071819708,3.05E-05,-9.00E-05,363.3846757,40.17576485,1.352139071,0.006981401,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
sandyclay_0.5_12,sandyclay,12,0.5,1.026464043,0.061436891,-0.00208656,-0.000187135,353.8325498,35.92134221,1.057040867,0.009535207,2.978348747,0.993768064,0.09988457,0.003126385,NA,NA,NA,NA
sandyclayloam_0.5_12,sandyclayloam,12,0.5,1.035180794,0.052330564,-0.002859661,-0.00018554,396.4369003,39.9888957,0.811449771,-0.015887498,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
sandyloam_0.5_12,sandyloam,12,0.5,1.033505747,0.054093387,-0.002507288,-0.000173062,393.2624348,40.01791387,0.903330963,-0.011964848,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
silt_0.5_12,silt,12,0.5,1.056762961,0.029742407,-0.005697406,-0.000274019,418.9038784,38.56384642,0.469117283,-0.028237508,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
siltloam_0.5_12,siltloam,12,0.5,1.054442579,0.032188536,-0.005135942,-0.000251141,420.6636568,37.4579864,0.351230075,-0.031179611,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
siltyclay_0.5_12,siltyclay,12,0.5,1.043622589,0.043474931,-0.004255072,-0.000233482,411.5493407,41.17763039,0.706724101,-0.022507673,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
siltyclayloam_0.5_12,siltyclayloam,12,0.5,1.051472783,0.035273235,-0.005083186,-0.000255858,421.8434435,40.06255664,0.544187722,-0.027430587,2.653630513,0.798652085,0.071409677,0.001956244,NA,NA,NA,NA
clay_2_1,clay,1,2,1.055584704,0.032093372,0.008202121,9.45E-05,426.16244,15.69525757,3.459721064,0.039682105,125.5874537,12.7198146,1.353572609,0.0209646,-13.35846953,-29.06825855,2.882222491,0.074656368
clayloam_2_1,clayloam,1,2,1.056579448,0.031007021,0.006574119,-0.000103608,491.7421469,41.68464741,5.411645313,0.028360347,120.1967755,12.46506832,1.177481181,0.006182092,-3.968281706,-17.23892676,3.581375128,0.028491808
loam_2_1,loam,1,2,1.054640526,0.033054804,0.007121169,-7.73E-05,488.862538,42.08213155,5.613686157,0.040165656,116.9203056,13.4179289,1.218190667,0.018286928,-0.067455272,-12.4371924,4.240384273,0.053684985
loamysand_2_1,loamysand,1,2,1.063289487,0.023926265,0.004520339,-0.000237452,506.2566505,39.29798724,4.348745942,-0.034972934,117.0152699,5.467605702,0.483412457,-0.027569919,-13.00327541,-28.37889425,1.54565293,-0.065384265
sandyclay_2_1,sandyclay,1,2,1.062479964,0.024746057,0.005751746,3.57E-05,435.2681455,14.60185123,2.561447778,0.006021303,132.7394239,9.799647076,1.268313657,0.009122893,-19.6043917,-36.92935065,1.305073731,0.020781213
sandyclayloam_2_1,sandyclayloam,1,2,1.057465381,0.030068867,0.006349455,-0.000105807,491.9442023,40.81460032,5.231530595,0.0207947,122.0126351,11.59169219,1.161780152,-0.004208875,-4.576350533,-17.99089926,3.443626258,0.022450347
sandyloam_2_1,sandyloam,1,2,1.063651286,0.023548209,0.004517321,-0.000231668,505.8693665,39.09537685,4.327149296,-0.035307849,115.4216433,5.729403245,0.417232075,-0.031118281,-12.41163995,-27.64144329,1.68023387,-0.060326436
silt_2_1,silt,1,2,1.061881619,0.025409823,0.004876249,-0.000219444,506.4099309,39.68537834,4.413709568,-0.032300447,106.1795251,12.61461127,1.02552817,0.021985184,-8.717903738,-23.10296641,2.151758478,-0.046682427
siltloam_2_1,siltloam,1,2,1.05268817,0.035109986,0.007504312,-6.90E-05,485.6886821,43.75509238,6.063681274,0.062845622,92.06511023,10.52446728,0.535201769,0.010423876,8.06737731,-2.422597179,5.547811268,0.101053018
siltyclay_2_1,siltyclay,1,2,1.053405374,0.034384679,0.00838987,6.37E-05,436.8410872,22.76674929,4.335770295,0.055331717,125.3225953,13.64672867,1.438154425,0.023047558,-8.061551606,-22.4382856,3.75179565,0.090663089
siltyclayloam_2_1,siltyclayloam,1,2,1.051372136,0.036507763,0.008145682,-1.56E-05,467.315006,38.43475599,5.88757662,0.07723716,113.3495294,14.3065183,1.241680995,0.031287744,3.449392742,-8.132833014,5.265035833,0.112397543
clay_2_3,clay,3,2,1.098153021,-0.013410874,-0.008914926,-0.000354831,459.468721,17.12762361,-1.47206703,-0.08581032,2.653630513,0.798652085,0.071409677,0.001956244,-20.89597856,-40.03613401,-3.175577752,-0.08220913
clayloam_2_3,clayloam,3,2,1.104839623,-0.020196539,-0.006929072,-0.000265278,445.1931544,5.066914762,-1.708743936,-0.08355431,2.653630513,0.798652085,0.071409677,0.001956244,-26.35383149,-46.48846266,-2.871243458,-0.064903047
loam_2_3,loam,3,2,1.102559717,-0.017657503,-0.004581504,-0.000174132,430.2282543,-0.670756644,-1.533173622,-0.071666308,2.653630513,0.798652085,0.071409677,0.001956244,-25.94416734,-45.80004081,-2.091216153,-0.036246946
loamysand_2_3,loamysand,3,2,1.075039961,0.010966664,-0.003395133,-0.00016492,419.4487811,19.08301361,0.121456527,-0.029391218,2.653630513,0.798652085,0.071409677,0.001956244,-3.28323375,-18.10187211,0.155721267,0.020542097
sandyclay_2_3,sandyclay,3,2,1.07943169,0.006110542,-0.007422518,-0.000316366,450.8350541,28.85364187,-0.405422827,-0.055477307,2.653630513,0.798652085,0.071409677,0.001956244,-7.348405295,-23.46201503,-1.721107233,-0.042154172
sandyclayloam_2_3,sandyclayloam,3,2,1.098738954,-0.013875011,-0.006973224,-0.000273399,446.0187311,10.87790698,-1.368427791,-0.075654776,2.653630513,0.798652085,0.071409677,0.001956244,-19.66315841,-38.33665243,-2.274890393,-0.049290805
sandyloam_2_3,sandyloam,3,2,1.095957769,-0.010854808,-0.005158628,-0.000206597,435.1782123,7.441004063,-1.122504959,-0.064427349,2.653630513,0.798652085,0.071409677,0.001956244,-19.49472638,-37.98438655,-1.717503357,-0.030023547
silt_2_3,silt,3,2,1.08538547,0.000760017,0.003371201,8.81E-05,384.7947424,-13.04480374,-0.297706442,-0.019121233,2.653630513,0.798652085,0.071409677,0.001956244,-23.40801369,-42.05043141,0.581650565,0.055381751
siltloam_2_3,siltloam,3,2,1.083449493,0.002803018,0.003939597,0.000121959,383.632641,-12.60494246,-0.2759498,-0.01470016,4.149217069,1.16809664,0.100315309,0.002676952,-20.14935383,-38.07715784,0.978644159,0.070543826
siltyclay_2_3,siltyclay,3,2,1.101975254,-0.017377177,-0.008958275,-0.000351782,459.0526962,13.80043615,-1.67937253,-0.090586642,2.653630513,0.798652085,0.071409677,0.001956244,-23.4932984,-43.18897867,-3.355574796,-0.086139154
